wohnquartier;bestand_in_nichtwohngebaeuden;bestand_in_wohngebaeuden_insgesamt;wohnflaeche_je_wohnung;bestand_in_wohngebaeuden_mit_bj_vor_1949;bestand_in_wohngebaeuden_mit_bj_1949_bis_1969;bestand_in_wohngebaeuden_mit_bj_1970_bis_1989;bestand_in_wohngebaeuden_mit_bj_nach_1990;bestand_in_ezfh_insgesamt;bestand_in_ezfh_mit_bj_vor_1949;bestand_in_ezfh_mit_bj_1949_bis_1969;bestand_in_ezfh_mit_bj_1970_bis_1989;bestand_in_ezfh_mit_bj_nach_1990;bestand_in_in_mfh_insgesamt;bestand_in_mfh_mit_bj_vor_1949;bestand_in_mfh_mit_bj_1949_bis_1969;bestand_in_mfh_mit_bj_1970_bis_1989;bestand_in_mfh_mit_bj_nach_1990;durchschnittlicher_bestand_je_wohngebaeude
37006;7;1270;68,06;492;672;91;15;;;;;;1269;492;672;91;14;11,4
37007;23;1228;61,85;182;803;111;132;53;;;;53;1175;182;803;111;79;7,3
37008;72;1535;61,06;434;887;180;34;13;11;;;;1522;423;886;179;34;8,5
37009;43;1161;59,33;183;899;26;53;0;;;;;1161;183;899;26;53;10,3
37010;84;1077;63,22;285;423;258;111;9;;;;5;1068;283;421;258;106;8,8
37011;34;800;57,49;88;423;162;127;5;;;4;;795;87;423;158;127;11,4
37012;91;1076;59,9;392;365;212;107;0;;;;;1076;392;365;212;107;9,5
37013;41;1087;57,62;449;401;164;73;11;4;7;;;1076;445;394;164;73;9,2
37014;;;;;;;;;;;;;;;;;;
37015;16;828;71,56;174;248;188;218;35;8;4;;22;793;166;244;187;196;7
37016;4;498;88,18;27;277;138;56;266;8;166;60;32;232;19;111;78;24;2
38001;39;1549;76,49;239;432;452;426;131;43;56;10;22;1418;196;376;442;404;4,9
38002;;;;;;;;;;;;;;;;;;
41001;;616;87,44;209;178;170;59;188;117;7;55;9;428;92;171;115;50;2,9
41002;115;1157;80,52;249;327;198;383;79;9;29;23;18;1078;240;298;175;365;6,6
41003;67;918;83,69;221;116;13;568;40;12;;;25;878;209;114;12;543;7,2
41004;64;1630;85,25;612;740;218;60;119;97;8;6;8;1511;515;732;212;52;4,9
41005;65;1498;77,97;562;634;182;120;29;25;;;;1469;537;632;181;119;8
41006;11;861;94,35;246;397;150;68;33;24;4;;5;828;222;393;150;63;6,7
41007;105;1510;95,06;995;236;236;43;172;162;;4;4;1338;833;234;232;39;4,1
41008;35;1365;94,32;839;308;106;112;68;40;;;26;1297;799;308;104;86;5,3
41009;45;1503;110,29;719;497;204;83;148;115;13;5;15;1355;604;484;199;68;4
41010;;;;;;;;;;;;;;;;;;
42001;16;617;81,98;86;66;177;288;206;40;18;9;139;411;46;48;168;149;2,5
42002;55;756;64,02;151;166;192;247;27;17;;;7;729;134;164;191;240;7,8
42003;13;1272;61,53;23;1029;141;79;47;5;40;;;1225;18;989;141;77;6,6
42004;26;375;73,72;109;147;37;82;56;20;18;4;14;319;89;129;33;68;3,9
42005;80;1219;70,63;362;528;161;168;110;63;42;4;;1109;299;486;157;167;4,8
42006;125;987;83,13;243;221;354;169;116;46;26;33;11;871;197;195;321;158;4,1
42007;;;;;;;;;;;;;;;;;;
42008;11;732;83,28;150;90;33;459;30;22;5;3;;702;128;85;30;459;8,1
43001;;;;;;;;;;;;;;;;;;
43002;6;297;106,59;46;65;47;139;152;33;16;20;83;145;13;49;27;56;2
43003;4;944;93,11;138;498;148;160;351;96;146;66;43;593;42;352;82;117;2,4
43004;17;366;74,46;108;128;3;127;49;6;6;;37;317;102;122;3;90;4,4
43005;;2038;64,05;13;1178;467;380;126;;80;17;29;1912;13;1098;450;351;8,1
43006;159;1014;63,85;169;218;422;205;7;4;3;;;1007;165;215;422;205;11,1
44001;;585;134,91;15;131;217;222;290;6;80;87;117;295;9;51;130;105;1,9
44002;11;1393;91,38;46;420;707;220;56;12;6;15;23;1337;34;414;692;197;7,2
